#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.180825E-01   0.122186E+08   0.121931E+08  -0.947685E+03  -0.947688E+03   0.591411E+07   0.121860E+08   0.122146E+08   0.121860E+08  -0.289652E+00   0.638284E+07   0.638263E+07   0.396753E+01
   0.186954E-01   0.119991E+08   0.119724E+08  -0.870732E+03  -0.870734E+03   0.568348E+07   0.119663E+08   0.119949E+08   0.119663E+08  -0.284429E+00   0.626787E+07   0.626764E+07   0.400692E+01
   0.193291E-01   0.117758E+08   0.117479E+08  -0.799502E+03  -0.799504E+03   0.545555E+07   0.117428E+08   0.117714E+08   0.117428E+08  -0.279116E+00   0.615092E+07   0.615068E+07   0.404176E+01
   0.199842E-01   0.115489E+08   0.115197E+08  -0.733601E+03  -0.733603E+03   0.523066E+07   0.115156E+08   0.115442E+08   0.115156E+08  -0.273717E+00   0.603205E+07   0.603181E+07   0.407155E+01
   0.206616E-01   0.113184E+08   0.112879E+08  -0.672662E+03  -0.672664E+03   0.500919E+07   0.112850E+08   0.113135E+08   0.112850E+08  -0.268234E+00   0.591134E+07   0.591109E+07   0.409578E+01
   0.213619E-01   0.110845E+08   0.110527E+08  -0.616341E+03  -0.616343E+03   0.479144E+07   0.110510E+08   0.110794E+08   0.110510E+08  -0.262672E+00   0.578888E+07   0.578861E+07   0.411389E+01
   0.220860E-01   0.108474E+08   0.108144E+08  -0.564319E+03  -0.564320E+03   0.457753E+07   0.108138E+08   0.108422E+08   0.108138E+08  -0.257035E+00   0.566475E+07   0.566448E+07   0.412533E+01
   0.228346E-01   0.106074E+08   0.105731E+08  -0.516296E+03  -0.516298E+03   0.436760E+07   0.105737E+08   0.106020E+08   0.105737E+08  -0.251328E+00   0.553910E+07   0.553881E+07   0.412953E+01
   0.236086E-01   0.103647E+08   0.103291E+08  -0.471995E+03  -0.471996E+03   0.416199E+07   0.103310E+08   0.103590E+08   0.103310E+08  -0.245558E+00   0.541204E+07   0.541174E+07   0.412590E+01
   0.244088E-01   0.101196E+08   0.100827E+08  -0.431156E+03  -0.431157E+03   0.396108E+07   0.100859E+08   0.101137E+08   0.100859E+08  -0.239732E+00   0.528374E+07   0.528343E+07   0.411387E+01
   0.252361E-01   0.987242E+07   0.983430E+07  -0.393538E+03  -0.393539E+03   0.376508E+07   0.983873E+07   0.986637E+07   0.983873E+07  -0.233858E+00   0.515437E+07   0.515406E+07   0.409287E+01
   0.260915E-01   0.962360E+07   0.958430E+07  -0.358914E+03  -0.358915E+03   0.357414E+07   0.958998E+07   0.961735E+07   0.958998E+07  -0.227946E+00   0.502416E+07   0.502384E+07   0.406234E+01
   0.269759E-01   0.937354E+07   0.933313E+07  -0.327074E+03  -0.327075E+03   0.338845E+07   0.934004E+07   0.936712E+07   0.934004E+07  -0.222005E+00   0.489331E+07   0.489298E+07   0.402175E+01
   0.278902E-01   0.912274E+07   0.908128E+07  -0.297823E+03  -0.297823E+03   0.320824E+07   0.908939E+07   0.911615E+07   0.908939E+07  -0.216047E+00   0.476209E+07   0.476175E+07   0.397060E+01
   0.288356E-01   0.887172E+07   0.882931E+07  -0.270975E+03  -0.270976E+03   0.303380E+07   0.883857E+07   0.886498E+07   0.883857E+07  -0.210085E+00   0.463077E+07   0.463043E+07   0.390847E+01
   0.298129E-01   0.862108E+07   0.857781E+07  -0.246361E+03  -0.246362E+03   0.286527E+07   0.858816E+07   0.861420E+07   0.858816E+07  -0.204133E+00   0.449966E+07   0.449932E+07   0.383497E+01
   0.308235E-01   0.837144E+07   0.832744E+07  -0.223820E+03  -0.223821E+03   0.270272E+07   0.833880E+07   0.836445E+07   0.833880E+07  -0.198206E+00   0.436909E+07   0.436875E+07   0.374981E+01
   0.318682E-01   0.812347E+07   0.807888E+07  -0.203203E+03  -0.203203E+03   0.254638E+07   0.809116E+07   0.811639E+07   0.809116E+07  -0.192320E+00   0.423942E+07   0.423907E+07   0.365281E+01
