#           k/h    P           
   0.173715E+00   0.238715E+04
   0.177224E+00   0.233101E+04
   0.180804E+00   0.227970E+04
   0.184457E+00   0.222963E+04
   0.188183E+00   0.217752E+04
   0.191985E+00   0.212052E+04
   0.195863E+00   0.205664E+04
   0.199820E+00   0.198517E+04
   0.203856E+00   0.190704E+04
   0.207974E+00   0.182462E+04
   0.212176E+00   0.174116E+04
   0.216462E+00   0.166009E+04
   0.220835E+00   0.158452E+04
   0.225296E+00   0.151679E+04
   0.229847E+00   0.145825E+04
   0.234490E+00   0.140839E+04
   0.239227E+00   0.136586E+04
   0.244060E+00   0.132771E+04
   0.248990E+00   0.129099E+04
   0.254020E+00   0.125309E+04
   0.259152E+00   0.121211E+04
   0.264387E+00   0.116745E+04
   0.269728E+00   0.111954E+04
   0.275177E+00   0.107032E+04
   0.280736E+00   0.102197E+04
   0.286407E+00   0.976879E+03
   0.292193E+00   0.936482E+03
   0.298096E+00   0.900892E+03
   0.304118E+00   0.869466E+03
   0.310261E+00   0.840653E+03
   0.316529E+00   0.812791E+03
   0.322923E+00   0.784144E+03
   0.329447E+00   0.753989E+03
   0.336102E+00   0.722773E+03
   0.342892E+00   0.691489E+03
   0.349819E+00   0.661566E+03
   0.356885E+00   0.633892E+03
   0.364095E+00   0.608824E+03
   0.371450E+00   0.585961E+03
   0.378954E+00   0.564326E+03
   0.386609E+00   0.543088E+03
   0.394419E+00   0.521611E+03
   0.402387E+00   0.499969E+03
   0.410516E+00   0.478709E+03
   0.418809E+00   0.458396E+03
   0.427269E+00   0.439518E+03
   0.435901E+00   0.421960E+03
   0.444706E+00   0.405292E+03
   0.453690E+00   0.389115E+03
   0.462855E+00   0.373119E+03
   0.472206E+00   0.357417E+03
   0.481745E+00   0.342285E+03
   0.491477E+00   0.327899E+03
   0.501405E+00   0.314338E+03
   0.511534E+00   0.301423E+03
   0.521868E+00   0.288923E+03
   0.532411E+00   0.276784E+03
   0.543166E+00   0.265025E+03
   0.554139E+00   0.253744E+03
   0.565333E+00   0.243015E+03
   0.576753E+00   0.232766E+03
   0.588404E+00   0.222904E+03
   0.600291E+00   0.213397E+03
   0.612418E+00   0.204240E+03
   0.624789E+00   0.195460E+03
   0.637411E+00   0.187071E+03
   0.650288E+00   0.179038E+03
   0.663424E+00   0.171329E+03
   0.676826E+00   0.163928E+03
   0.690499E+00   0.156826E+03
   0.704448E+00   0.150012E+03
   0.718679E+00   0.143477E+03
   0.733197E+00   0.137210E+03
   0.748009E+00   0.131201E+03
   0.763119E+00   0.125443E+03
   0.778536E+00   0.119925E+03
   0.794263E+00   0.114639E+03
   0.810308E+00   0.109577E+03
   0.826677E+00   0.104729E+03
   0.843378E+00   0.100087E+03
   0.860415E+00   0.956423E+02
   0.877797E+00   0.913875E+02
   0.895529E+00   0.873145E+02
   0.913620E+00   0.834159E+02
   0.932076E+00   0.796844E+02
   0.950906E+00   0.761132E+02
   0.970115E+00   0.726957E+02
   0.989713E+00   0.694255E+02
   0.100971E+01   0.662966E+02
   0.103010E+01   0.633032E+02
   0.105091E+01   0.604395E+02
   0.107214E+01   0.577005E+02
   0.109380E+01   0.550808E+02
   0.111590E+01   0.525757E+02
   0.113844E+01   0.501803E+02
   0.116144E+01   0.478901E+02
   0.118490E+01   0.457008E+02
   0.120884E+01   0.436080E+02
   0.123326E+01   0.416078E+02
   0.125817E+01   0.396963E+02
   0.128359E+01   0.378697E+02
   0.130952E+01   0.361244E+02
   0.133597E+01   0.344569E+02
   0.136296E+01   0.328640E+02
   0.139049E+01   0.313423E+02
   0.141858E+01   0.298889E+02
   0.144724E+01   0.285009E+02
   0.147648E+01   0.271753E+02
   0.150630E+01   0.259095E+02
   0.153673E+01   0.247009E+02
   0.156778E+01   0.235470E+02
   0.159945E+01   0.224454E+02
   0.163176E+01   0.213939E+02
   0.166472E+01   0.203902E+02
   0.169835E+01   0.194323E+02
   0.173266E+01   0.185182E+02
   0.176766E+01   0.176458E+02
   0.180337E+01   0.168134E+02
   0.183980E+01   0.160193E+02
   0.187697E+01   0.152616E+02
   0.191489E+01   0.145389E+02
   0.195357E+01   0.138495E+02
   0.199304E+01   0.131919E+02
   0.203330E+01   0.125648E+02
   0.207437E+01   0.119667E+02
   0.211628E+01   0.113964E+02
   0.215903E+01   0.108526E+02
   0.220265E+01   0.103342E+02
   0.224714E+01   0.983989E+01
   0.229254E+01   0.936868E+01
   0.233885E+01   0.891950E+01
   0.238610E+01   0.849137E+01
   0.243430E+01   0.808331E+01
   0.248348E+01   0.769441E+01
   0.253365E+01   0.732381E+01
   0.258483E+01   0.697066E+01
   0.263705E+01   0.663417E+01
   0.269032E+01   0.631356E+01
   0.274466E+01   0.600812E+01
   0.280011E+01   0.571714E+01
   0.285668E+01   0.543996E+01
   0.291439E+01   0.517593E+01
