#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.121014E-01   0.146614E+08   0.146477E+08  -0.262551E+04  -0.262552E+04   0.000000E+00   0.146593E+08   0.146593E+08   0.146593E+08  -0.345095E+00   0.761703E+07   0.761691E+07   0.333209E+01
   0.125115E-01   0.144894E+08   0.144748E+08  -0.242734E+04  -0.242734E+04   0.000000E+00   0.144871E+08   0.144871E+08   0.144871E+08  -0.341042E+00   0.752756E+07   0.752744E+07   0.339663E+01
   0.129356E-01   0.143133E+08   0.142979E+08  -0.224317E+04  -0.224318E+04   0.000000E+00   0.143109E+08   0.143109E+08   0.143109E+08  -0.336893E+00   0.743600E+07   0.743587E+07   0.346064E+01
   0.133741E-01   0.141331E+08   0.141169E+08  -0.207207E+04  -0.207207E+04   0.000000E+00   0.141306E+08   0.141306E+08   0.141306E+08  -0.332649E+00   0.734232E+07   0.734218E+07   0.352391E+01
   0.138274E-01   0.139489E+08   0.139317E+08  -0.191314E+04  -0.191315E+04   0.000000E+00   0.139462E+08   0.139462E+08   0.139462E+08  -0.328308E+00   0.724651E+07   0.724637E+07   0.358621E+01
   0.142961E-01   0.137605E+08   0.137424E+08  -0.176557E+04  -0.176557E+04   0.000000E+00   0.137577E+08   0.137577E+08   0.137577E+08  -0.323871E+00   0.714856E+07   0.714841E+07   0.364727E+01
   0.147806E-01   0.135680E+08   0.135489E+08  -0.162857E+04  -0.162858E+04   0.000000E+00   0.135650E+08   0.135650E+08   0.135650E+08  -0.319335E+00   0.704846E+07   0.704830E+07   0.370683E+01
   0.152816E-01   0.133714E+08   0.133512E+08  -0.150144E+04  -0.150144E+04   0.000000E+00   0.133682E+08   0.133682E+08   0.133682E+08  -0.314702E+00   0.694620E+07   0.694603E+07   0.376457E+01
   0.157996E-01   0.131706E+08   0.131494E+08  -0.138350E+04  -0.138350E+04   0.000000E+00   0.131673E+08   0.131673E+08   0.131673E+08  -0.309972E+00   0.684179E+07   0.684161E+07   0.382018E+01
   0.163351E-01   0.129657E+08   0.129434E+08  -0.127411E+04  -0.127412E+04   0.000000E+00   0.129622E+08   0.129622E+08   0.129622E+08  -0.305144E+00   0.673523E+07   0.673504E+07   0.387329E+01
   0.168888E-01   0.127567E+08   0.127332E+08  -0.117271E+04  -0.117271E+04   0.000000E+00   0.127530E+08   0.127530E+08   0.127530E+08  -0.300219E+00   0.662653E+07   0.662633E+07   0.392354E+01
   0.174613E-01   0.125436E+08   0.125190E+08  -0.107873E+04  -0.107874E+04   0.000000E+00   0.125397E+08   0.125397E+08   0.125397E+08  -0.295199E+00   0.651572E+07   0.651551E+07   0.397051E+01
   0.180531E-01   0.123265E+08   0.123007E+08  -0.991678E+03  -0.991680E+03   0.000000E+00   0.123224E+08   0.123224E+08   0.123224E+08  -0.290083E+00   0.640281E+07   0.640260E+07   0.401377E+01
   0.186650E-01   0.121055E+08   0.120784E+08  -0.911068E+03  -0.911070E+03   0.000000E+00   0.121012E+08   0.121012E+08   0.121012E+08  -0.284875E+00   0.628786E+07   0.628763E+07   0.405286E+01
   0.192977E-01   0.118806E+08   0.118522E+08  -0.836458E+03  -0.836461E+03   0.000000E+00   0.118761E+08   0.118761E+08   0.118761E+08  -0.279576E+00   0.617090E+07   0.617066E+07   0.408730E+01
   0.199518E-01   0.116519E+08   0.116223E+08  -0.767437E+03  -0.767439E+03   0.000000E+00   0.116473E+08   0.116473E+08   0.116473E+08  -0.274189E+00   0.605200E+07   0.605175E+07   0.411659E+01
   0.206280E-01   0.114197E+08   0.113888E+08  -0.703617E+03  -0.703619E+03   0.000000E+00   0.114148E+08   0.114148E+08   0.114148E+08  -0.268717E+00   0.593122E+07   0.593096E+07   0.414019E+01
   0.213272E-01   0.111840E+08   0.111518E+08  -0.644639E+03  -0.644641E+03   0.000000E+00   0.111790E+08   0.111790E+08   0.111790E+08  -0.263164E+00   0.580866E+07   0.580840E+07   0.415755E+01
   0.220501E-01   0.109451E+08   0.109116E+08  -0.590168E+03  -0.590169E+03   0.000000E+00   0.109399E+08   0.109399E+08   0.109399E+08  -0.257536E+00   0.568442E+07   0.568415E+07   0.416810E+01
   0.227975E-01   0.107032E+08   0.106684E+08  -0.539890E+03  -0.539891E+03   0.000000E+00   0.106977E+08   0.106977E+08   0.106977E+08  -0.251836E+00   0.555863E+07   0.555834E+07   0.417127E+01
