#           k/h    P           
   0.298867E-01   0.207935E+05
   0.304905E-01   0.204643E+05
   0.311064E-01   0.201303E+05
   0.317348E-01   0.197923E+05
   0.323759E-01   0.194513E+05
   0.330299E-01   0.191081E+05
   0.336972E-01   0.187636E+05
   0.343779E-01   0.184188E+05
   0.350724E-01   0.180747E+05
   0.357809E-01   0.177326E+05
   0.365038E-01   0.173919E+05
   0.372412E-01   0.170525E+05
   0.379935E-01   0.167158E+05
   0.387610E-01   0.163837E+05
   0.395440E-01   0.160578E+05
   0.403429E-01   0.157392E+05
   0.411579E-01   0.154288E+05
   0.419893E-01   0.151273E+05
   0.428375E-01   0.148354E+05
   0.437029E-01   0.145538E+05
   0.445858E-01   0.142829E+05
   0.454865E-01   0.140227E+05
   0.464053E-01   0.137735E+05
   0.473428E-01   0.135350E+05
   0.482992E-01   0.133070E+05
   0.492749E-01   0.130891E+05
   0.502703E-01   0.128808E+05
   0.512858E-01   0.126814E+05
   0.523219E-01   0.124901E+05
   0.533789E-01   0.123063E+05
   0.544572E-01   0.121295E+05
   0.555573E-01   0.119591E+05
   0.566796E-01   0.117935E+05
   0.578246E-01   0.116347E+05
   0.589927E-01   0.114863E+05
   0.601845E-01   0.113424E+05
   0.614003E-01   0.111941E+05
   0.626407E-01   0.110391E+05
   0.639061E-01   0.108800E+05
   0.651971E-01   0.107173E+05
   0.665142E-01   0.105484E+05
   0.678578E-01   0.103711E+05
   0.692287E-01   0.101845E+05
   0.706272E-01   0.998755E+04
   0.720539E-01   0.977959E+04
   0.735095E-01   0.956018E+04
   0.749945E-01   0.932945E+04
   0.765095E-01   0.908795E+04
   0.780551E-01   0.883661E+04
   0.796319E-01   0.857680E+04
   0.812406E-01   0.831020E+04
   0.828817E-01   0.803883E+04
   0.845561E-01   0.776486E+04
   0.862642E-01   0.749064E+04
   0.880068E-01   0.721866E+04
   0.897847E-01   0.695144E+04
   0.915985E-01   0.669154E+04
   0.934489E-01   0.644148E+04
   0.953367E-01   0.620365E+04
   0.972626E-01   0.598019E+04
   0.992274E-01   0.577283E+04
   0.101232E+00   0.558281E+04
   0.103277E+00   0.541073E+04
   0.105363E+00   0.525647E+04
   0.107492E+00   0.511928E+04
   0.109663E+00   0.499776E+04
   0.111879E+00   0.489001E+04
   0.114139E+00   0.479370E+04
   0.116445E+00   0.470611E+04
   0.118797E+00   0.462418E+04
